graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
pores_3,532,1850,1,9,572,212,931,0.0130977,0.853166,1
pores_3,532,1850,1,9,565,212,931,0.0130977,0.632232,1
pores_3,532,1850,1,9,565,212,931,0.0130977,0.993251,1
pores_3,532,1850,1,9,570,212,931,0.0130977,0.706974,1
pores_3,532,1850,1,9,567,212,931,0.0130977,0.646221,1
pores_3,532,1850,1,9,574,212,931,0.0130977,0.652737,1
pores_3,532,1850,1,9,574,212,931,0.0130977,1.01515,1
pores_3,532,1850,1,9,576,212,931,0.0130977,0.608589,1
pores_3,532,1850,1,9,571,212,931,0.0130977,1.10137,1
pores_3,532,1850,1,9,555,212,931,0.0130977,0.674211,1
pores_3,532,1850,1,9,589,212,931,0.0130977,0.683228,1
pores_3,532,1850,1,9,567,212,931,0.0130977,0.682988,1
pores_3,532,1850,1,9,564,212,931,0.0130977,0.607787,1
pores_3,532,1850,1,9,590,212,931,0.0130977,0.912646,1
pores_3,532,1850,1,9,567,212,931,0.0130977,0.600849,1
