graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
saylr1,238,445,2,4,316,190,357,0.0157785,0.0960866,1
saylr1,238,445,2,4,310,190,357,0.0157785,0.081541,1
saylr1,238,445,2,4,314,190,357,0.0157785,0.1056,1
saylr1,238,445,2,4,320,190,357,0.0157785,0.0591404,1
saylr1,238,445,2,4,318,190,357,0.0157785,0.0587765,1
saylr1,238,445,2,4,305,190,357,0.0157785,0.0987811,1
saylr1,238,445,2,4,316,190,357,0.0157785,0.0980853,1
saylr1,238,445,2,4,318,190,357,0.0157785,0.0953702,1
saylr1,238,445,2,4,320,190,357,0.0157785,0.0713787,1
saylr1,238,445,2,4,322,190,357,0.0157785,0.0731147,1
saylr1,238,445,2,4,325,190,357,0.0157785,0.0645671,1
saylr1,238,445,2,4,312,190,357,0.0157785,0.0892826,1
saylr1,238,445,2,4,307,190,357,0.0157785,0.065537,1
saylr1,238,445,2,4,306,190,357,0.0157785,0.0685664,1
saylr1,238,445,2,4,319,190,357,0.0157785,0.0536697,1
