graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
steam3,80,424,7,11,53,26,120,0.134177,0.00884367,1
steam3,80,424,7,11,52,26,120,0.134177,0.00960166,1
steam3,80,424,7,11,48,26,120,0.134177,0.0114745,1
steam3,80,424,7,11,52,26,120,0.134177,0.00920624,1
steam3,80,424,7,11,54,26,120,0.134177,0.00871496,1
steam3,80,424,7,11,48,26,120,0.134177,0.00990645,1
steam3,80,424,7,11,54,26,120,0.134177,0.00936991,1
steam3,80,424,7,11,52,26,120,0.134177,0.00904055,1
steam3,80,424,7,11,51,26,120,0.134177,0.00854087,1
steam3,80,424,7,11,47,26,120,0.134177,0.00996866,1
steam3,80,424,7,11,50,26,120,0.134177,0.00924742,1
steam3,80,424,7,11,51,26,120,0.134177,0.00799575,1
steam3,80,424,7,11,56,26,120,0.134177,0.00677659,1
steam3,80,424,7,11,51,26,120,0.134177,0.00894812,1
steam3,80,424,7,11,47,26,120,0.134177,0.00969728,1
