graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
watt__1,1856,4816,1,6,2270,1060,3248,0.00279766,12.9567,1
watt__1,1856,4816,1,6,2259,1060,3248,0.00279766,15.5595,1
watt__1,1856,4816,1,6,2353,1060,3248,0.00279766,14.977,1
watt__1,1856,4816,1,6,2337,1060,3248,0.00279766,10.4771,1
watt__1,1856,4816,1,6,2302,1060,3248,0.00279766,12.478,1
watt__1,1856,4816,1,6,2286,1060,3248,0.00279766,16.8584,1
watt__1,1856,4816,1,6,2319,1060,3248,0.00279766,10.971,1
watt__1,1856,4816,1,6,2304,1060,3248,0.00279766,13.9393,1
watt__1,1856,4816,1,6,2356,1060,3248,0.00279766,10.9759,1
watt__1,1856,4816,1,6,2341,1060,3248,0.00279766,14.3175,1
watt__1,1856,4816,1,6,2328,1060,3248,0.00279766,15.1956,1
watt__1,1856,4816,1,6,2348,1060,3248,0.00279766,16.8811,1
watt__1,1856,4816,1,6,2271,1060,3248,0.00279766,14.5627,1
watt__1,1856,4816,1,6,2282,1060,3248,0.00279766,12.1377,1
watt__1,1856,4816,1,6,2330,1060,3248,0.00279766,12.2939,1
