graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcspwr02,49,59,1,6,81,28,85,0.0501701,0.00217917,1
bcspwr02,49,59,1,6,84,28,85,0.0501701,0.00209659,1
bcspwr02,49,59,1,6,82,28,85,0.0501701,0.00223577,1
bcspwr02,49,59,1,6,81,28,85,0.0501701,0.00240378,1
bcspwr02,49,59,1,6,88,28,85,0.0501701,0.00268013,1
bcspwr02,49,59,1,6,84,28,85,0.0501701,0.00177299,1
bcspwr02,49,59,1,6,85,28,85,0.0501701,0.00189105,1
bcspwr02,49,59,1,6,86,28,85,0.0501701,0.00251856,1
bcspwr02,49,59,1,6,81,28,85,0.0501701,0.00324153,1
bcspwr02,49,59,1,6,76,28,85,0.0501701,0.00375902,1
bcspwr02,49,59,1,6,79,28,85,0.0501701,0.00267373,1
bcspwr02,49,59,1,6,88,28,85,0.0501701,0.0018856,1
bcspwr02,49,59,1,6,75,28,85,0.0501701,0.00218113,1
bcspwr02,49,59,1,6,84,28,85,0.0501701,0.00256611,1
bcspwr02,49,59,1,6,82,28,85,0.0501701,0.00199027,1
