graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bp___400,822,4015,2,294,899,11,1233,0.0118987,3.79672,1
bp___400,822,4015,2,294,910,11,1233,0.0118987,3.18012,1
bp___400,822,4015,2,294,887,11,1233,0.0118987,2.79339,1
bp___400,822,4015,2,294,919,11,1233,0.0118987,3.57983,1
bp___400,822,4015,2,294,908,11,1233,0.0118987,2.30322,1
bp___400,822,4015,2,294,887,11,1233,0.0118987,3.72076,1
bp___400,822,4015,2,294,903,11,1233,0.0118987,4.19164,1
bp___400,822,4015,2,294,857,11,1233,0.0118987,2.82649,1
bp___400,822,4015,2,294,907,11,1233,0.0118987,3.00316,1
bp___400,822,4015,2,294,884,11,1233,0.0118987,3.91012,1
bp___400,822,4015,2,294,899,11,1233,0.0118987,4.19045,1
bp___400,822,4015,2,294,921,11,1233,0.0118987,4.213,1
bp___400,822,4015,2,294,889,11,1233,0.0118987,3.85031,1
bp___400,822,4015,2,294,919,11,1233,0.0118987,2.99664,1
bp___400,822,4015,2,294,884,11,1233,0.0118987,3.82795,1
