graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cavity02,317,4237,8,61,167,20,475,0.0845945,0.328667,1
cavity02,317,4237,8,61,215,20,475,0.0845945,0.390994,1
cavity02,317,4237,8,61,128,20,475,0.0845945,0.316703,1
cavity02,317,4237,8,61,194,20,475,0.0845945,0.289163,1
cavity02,317,4237,8,61,184,20,475,0.0845945,0.346837,1
cavity02,317,4237,8,61,106,20,475,0.0845945,0.347379,1
cavity02,317,4237,8,61,185,20,475,0.0845945,0.364986,1
cavity02,317,4237,8,61,146,20,475,0.0845945,0.441601,1
cavity02,317,4237,8,61,122,20,475,0.0845945,0.403121,1
cavity02,317,4237,8,61,167,20,475,0.0845945,0.392667,1
cavity02,317,4237,8,61,215,20,475,0.0845945,0.323908,1
cavity02,317,4237,8,61,209,20,475,0.0845945,0.371369,1
cavity02,317,4237,8,61,203,20,475,0.0845945,0.368515,1
cavity02,317,4237,8,61,176,20,475,0.0845945,0.401582,1
cavity02,317,4237,8,61,147,20,475,0.0845945,0.476548,1
