graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__198,198,597,1,11,183,66,299,0.0306107,0.0790217,1
dwt__198,198,597,1,11,181,66,299,0.0306107,0.0696984,1
dwt__198,198,597,1,11,189,66,299,0.0306107,0.0571084,1
dwt__198,198,597,1,11,178,66,299,0.0306107,0.046138,1
dwt__198,198,597,1,11,179,66,299,0.0306107,0.0737024,1
dwt__198,198,597,1,11,177,66,299,0.0306107,0.0980364,1
dwt__198,198,597,1,11,180,66,299,0.0306107,0.130103,1
dwt__198,198,597,1,11,175,66,299,0.0306107,0.0709139,1
dwt__198,198,597,1,11,177,66,299,0.0306107,0.0483466,1
dwt__198,198,597,1,11,177,66,299,0.0306107,0.0469803,1
dwt__198,198,597,1,11,182,66,299,0.0306107,0.0408237,1
dwt__198,198,597,1,11,177,66,299,0.0306107,0.121542,1
dwt__198,198,597,1,11,176,66,299,0.0306107,0.141304,1
dwt__198,198,597,1,11,193,66,299,0.0306107,0.0530461,1
dwt__198,198,597,1,11,177,66,299,0.0306107,0.0842967,1
