graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
e05r0300,236,2847,8,61,127,15,354,0.102669,0.249877,1
e05r0300,236,2847,8,61,136,15,354,0.102669,0.322199,1
e05r0300,236,2847,8,61,130,15,354,0.102669,0.220867,1
e05r0300,236,2847,8,61,91,15,354,0.102669,0.223914,1
e05r0300,236,2847,8,61,119,15,354,0.102669,0.231861,1
e05r0300,236,2847,8,61,131,15,354,0.102669,0.247999,1
e05r0300,236,2847,8,61,98,15,354,0.102669,0.193564,1
e05r0300,236,2847,8,61,130,15,354,0.102669,0.244296,1
e05r0300,236,2847,8,61,103,15,354,0.102669,0.321365,1
e05r0300,236,2847,8,61,130,15,354,0.102669,0.200125,1
e05r0300,236,2847,8,61,149,15,354,0.102669,0.249245,1
e05r0300,236,2847,8,61,121,15,354,0.102669,0.198402,1
e05r0300,236,2847,8,61,112,15,354,0.102669,0.22078,1
e05r0300,236,2847,8,61,117,15,354,0.102669,0.23117,1
e05r0300,236,2847,8,61,146,15,354,0.102669,0.234794,1
