graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.44818,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.4902,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.50425,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.44865,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.29655,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.18877,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.42902,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.39056,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.22985,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.23332,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.36488,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.18439,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.2579,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.24606,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,2.31748,1
