graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
nos3,960,7442,5,17,418,213,1440,0.016167,2.39654,1
nos3,960,7442,5,17,421,213,1440,0.016167,2.42445,1
nos3,960,7442,5,17,424,213,1440,0.016167,4.12656,1
nos3,960,7442,5,17,408,213,1440,0.016167,2.69616,1
nos3,960,7442,5,17,413,213,1440,0.016167,1.98259,1
nos3,960,7442,5,17,399,213,1440,0.016167,2.40149,1
nos3,960,7442,5,17,402,213,1440,0.016167,2.37984,1
nos3,960,7442,5,17,410,213,1440,0.016167,3.09811,1
nos3,960,7442,5,17,412,213,1440,0.016167,2.52088,1
nos3,960,7442,5,17,388,213,1440,0.016167,2.44563,1
nos3,960,7442,5,17,410,213,1440,0.016167,2.47419,1
nos3,960,7442,5,17,409,213,1440,0.016167,2.29171,1
nos3,960,7442,5,17,423,213,1440,0.016167,2.49516,1
nos3,960,7442,5,17,423,213,1440,0.016167,2.13425,1
nos3,960,7442,5,17,421,213,1440,0.016167,2.40378,1
