graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rbs480b,480,16400,39,149,240,12,720,0.142658,2.28614,1
rbs480b,480,16400,39,149,180,12,720,0.142658,1.89247,1
rbs480b,480,16400,39,149,194,12,720,0.142658,1.41746,1
rbs480b,480,16400,39,149,206,12,720,0.142658,2.1445,1
rbs480b,480,16400,39,149,217,12,720,0.142658,1.85328,1
rbs480b,480,16400,39,149,203,12,720,0.142658,1.63359,1
rbs480b,480,16400,39,149,191,12,720,0.142658,2.64083,1
rbs480b,480,16400,39,149,203,12,720,0.142658,1.92665,1
rbs480b,480,16400,39,149,205,12,720,0.142658,2.08384,1
rbs480b,480,16400,39,149,194,12,720,0.142658,1.79274,1
rbs480b,480,16400,39,149,196,12,720,0.142658,2.44926,1
rbs480b,480,16400,39,149,210,12,720,0.142658,2.54657,1
rbs480b,480,16400,39,149,186,12,720,0.142658,1.87781,1
rbs480b,480,16400,39,149,161,12,720,0.142658,1.35683,1
rbs480b,480,16400,39,149,205,12,720,0.142658,2.19886,1
