graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
str__200,363,3049,1,49,362,29,635,0.0464058,0.619696,1
str__200,363,3049,1,49,380,29,635,0.0464058,0.574653,1
str__200,363,3049,1,49,418,29,635,0.0464058,0.326116,1
str__200,363,3049,1,49,399,29,635,0.0464058,0.622819,1
str__200,363,3049,1,49,357,29,635,0.0464058,0.872793,1
str__200,363,3049,1,49,379,29,635,0.0464058,0.559573,1
str__200,363,3049,1,49,363,29,635,0.0464058,0.57845,1
str__200,363,3049,1,49,413,29,635,0.0464058,0.26428,1
str__200,363,3049,1,49,396,29,635,0.0464058,0.439306,1
str__200,363,3049,1,49,370,29,635,0.0464058,0.728717,1
str__200,363,3049,1,49,342,29,635,0.0464058,0.638779,1
str__200,363,3049,1,49,388,29,635,0.0464058,0.312583,1
str__200,363,3049,1,49,373,29,635,0.0464058,0.711892,1
str__200,363,3049,1,49,369,29,635,0.0464058,0.411945,1
str__200,363,3049,1,49,403,29,635,0.0464058,0.239462,1
