graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can___73,73,152,2,8,83,32,109,0.0578387,0.00444961,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00509042,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00408458,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00426375,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00406332,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00413183,1
can___73,73,152,2,8,83,32,109,0.0578387,0.0043186,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00482147,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00400243,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00416177,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00409341,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00446532,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00430501,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00411478,1
can___73,73,152,2,8,83,32,109,0.0578387,0.00470031,1
