graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
gre__343,343,1092,2,8,437,152,514,0.018618,0.191358,1
gre__343,343,1092,2,8,439,152,514,0.018618,0.18799,1
gre__343,343,1092,2,8,438,152,514,0.018618,0.260358,1
gre__343,343,1092,2,8,440,152,514,0.018618,0.142622,1
gre__343,343,1092,2,8,439,152,514,0.018618,0.167015,1
gre__343,343,1092,2,8,439,152,514,0.018618,0.141268,1
gre__343,343,1092,2,8,436,152,514,0.018618,0.251684,1
gre__343,343,1092,2,8,440,152,514,0.018618,0.149343,1
gre__343,343,1092,2,8,439,152,514,0.018618,0.206259,1
gre__343,343,1092,2,8,439,152,514,0.018618,0.158124,1
gre__343,343,1092,2,8,440,152,514,0.018618,0.172859,1
gre__343,343,1092,2,8,437,152,514,0.018618,0.303737,1
gre__343,343,1092,2,8,440,152,514,0.018618,0.155408,1
gre__343,343,1092,2,8,437,152,514,0.018618,0.239141,1
gre__343,343,1092,2,8,438,152,514,0.018618,0.27607,1
