graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rdb200,200,460,3,5,282,133,300,0.0231156,0.0458195,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0824558,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0432296,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0609361,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0551923,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0604518,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0564056,1
rdb200,200,460,3,5,279,133,300,0.0231156,0.0520019,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0646013,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0578638,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0691348,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0704723,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.058625,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0412563,1
rdb200,200,460,3,5,278,133,300,0.0231156,0.0644128,1
