graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
shl__400,663,1709,2,425,518,6,994,0.00778754,0.714577,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.430691,1
shl__400,663,1709,2,425,518,6,994,0.00778754,0.72452,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.467468,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.429988,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.469372,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.425898,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.513445,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.443249,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.433905,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.493902,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.464118,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.539067,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.501803,1
shl__400,663,1709,2,425,519,6,994,0.00778754,0.456709,1
