graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.090155,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0871809,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0804262,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0752086,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0806264,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0729289,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.108605,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0774287,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0790268,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0812224,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0774353,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0765766,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0730864,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0803873,1
bcspwr04,274,669,1,15,301,68,479,0.0178872,0.0832076,1
