graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
can___96,96,336,5,8,69,42,144,0.0736842,0.0153527,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0129464,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0133006,1
can___96,96,336,5,8,67,42,144,0.0736842,0.0102686,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0131786,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0130595,1
can___96,96,336,5,8,66,42,144,0.0736842,0.0113965,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0122419,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0134441,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0126871,1
can___96,96,336,5,8,65,42,144,0.0736842,0.0125087,1
can___96,96,336,5,8,65,42,144,0.0736842,0.0124436,1
can___96,96,336,5,8,68,42,144,0.0736842,0.0130122,1
can___96,96,336,5,8,68,42,144,0.0736842,0.0102342,1
can___96,96,336,5,8,69,42,144,0.0736842,0.0131449,1
