graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cavity02,317,4237,8,61,36,20,475,0.0845945,0.198145,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.195367,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.19139,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.194439,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.191546,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.191872,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.191624,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.192222,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.192043,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.191866,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.198018,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.19595,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.191681,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.197673,1
cavity02,317,4237,8,61,36,20,475,0.0845945,0.198495,1
