graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cdde2,961,1860,2,4,1194,768,1441,0.00403226,2.58274,1
cdde2,961,1860,2,4,1166,768,1441,0.00403226,3.29928,1
cdde2,961,1860,2,4,1150,768,1441,0.00403226,4.08584,1
cdde2,961,1860,2,4,1189,768,1441,0.00403226,3.18847,1
cdde2,961,1860,2,4,1192,768,1441,0.00403226,1.93774,1
cdde2,961,1860,2,4,1169,768,1441,0.00403226,2.22716,1
cdde2,961,1860,2,4,1151,768,1441,0.00403226,3.16993,1
cdde2,961,1860,2,4,1157,768,1441,0.00403226,1.82117,1
cdde2,961,1860,2,4,1219,768,1441,0.00403226,2.63774,1
cdde2,961,1860,2,4,1175,768,1441,0.00403226,3.69663,1
cdde2,961,1860,2,4,1196,768,1441,0.00403226,2.20962,1
cdde2,961,1860,2,4,1189,768,1441,0.00403226,2.03761,1
cdde2,961,1860,2,4,1172,768,1441,0.00403226,1.84506,1
cdde2,961,1860,2,4,1155,768,1441,0.00403226,4.0172,1
cdde2,961,1860,2,4,1177,768,1441,0.00403226,1.90092,1
