graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__361,361,1296,3,8,262,160,541,0.0199446,0.232352,1
dwt__361,361,1296,3,8,260,160,541,0.0199446,0.268237,1
dwt__361,361,1296,3,8,252,160,541,0.0199446,0.306945,1
dwt__361,361,1296,3,8,266,160,541,0.0199446,0.224765,1
dwt__361,361,1296,3,8,260,160,541,0.0199446,0.289801,1
dwt__361,361,1296,3,8,263,160,541,0.0199446,0.232456,1
dwt__361,361,1296,3,8,262,160,541,0.0199446,0.198239,1
dwt__361,361,1296,3,8,259,160,541,0.0199446,0.222018,1
dwt__361,361,1296,3,8,273,160,541,0.0199446,0.209073,1
dwt__361,361,1296,3,8,259,160,541,0.0199446,0.291603,1
dwt__361,361,1296,3,8,264,160,541,0.0199446,0.406599,1
dwt__361,361,1296,3,8,255,160,541,0.0199446,0.331461,1
dwt__361,361,1296,3,8,255,160,541,0.0199446,0.283374,1
dwt__361,361,1296,3,8,262,160,541,0.0199446,0.464584,1
dwt__361,361,1296,3,8,256,160,541,0.0199446,0.236894,1
