graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt___87,87,227,1,12,76,26,152,0.060679,0.00867528,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00885334,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.0102021,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00903402,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00826025,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00827171,1
dwt___87,87,227,1,12,77,26,152,0.060679,0.00742368,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00857667,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00830539,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00845863,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.0087111,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.0107179,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00883113,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.0101166,1
dwt___87,87,227,1,12,76,26,152,0.060679,0.00813807,1
