graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
e05r0100,236,2847,8,61,36,15,354,0.102669,0.126268,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.125821,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.128944,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.13267,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.135583,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.130827,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.12579,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.128357,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.123774,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.140131,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.130423,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.124638,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.121566,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.119084,1
e05r0100,236,2847,8,61,36,15,354,0.102669,0.126281,1
