graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fidap031,3909,55695,8,74,1830,208,5863,0.00729165,181.077,1
fidap031,3909,55695,8,74,1810,208,5863,0.00729165,384.165,1
fidap031,3909,55695,8,74,1823,208,5863,0.00729165,167.991,1
fidap031,3909,55695,8,74,1838,208,5863,0.00729165,364.955,1
fidap031,3909,55695,8,74,1963,208,5863,0.00729165,372.393,1
fidap031,3909,55695,8,74,1806,208,5863,0.00729165,439.768,1
fidap031,3909,55695,8,74,1917,208,5863,0.00729165,406.392,1
fidap031,3909,55695,8,74,2011,208,5863,0.00729165,358.476,1
fidap031,3909,55695,8,74,2189,208,5863,0.00729165,266.898,1
fidap031,3909,55695,8,74,1981,208,5863,0.00729165,379.735,1
fidap031,3909,55695,8,74,2043,208,5863,0.00729165,371.888,1
fidap031,3909,55695,8,74,1948,208,5863,0.00729165,380.366,1
fidap031,3909,55695,8,74,1939,208,5863,0.00729165,348.938,1
fidap031,3909,55695,8,74,2030,208,5863,0.00729165,377.877,1
fidap031,3909,55695,8,74,1952,208,5863,0.00729165,427.423,1
