graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.878912,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.841587,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.844854,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.848942,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.847177,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.836934,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.837022,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.855808,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.848091,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.84326,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.845156,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.782705,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.834404,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.830432,1
fs_680_2,680,1464,1,13,878,194,1190,0.00634151,0.82977,1
