graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lshp1009,1009,2928,3,6,858,576,1513,0.0057577,14.5038,1
lshp1009,1009,2928,3,6,833,576,1513,0.0057577,6.35148,1
lshp1009,1009,2928,3,6,853,576,1513,0.0057577,14.9649,1
lshp1009,1009,2928,3,6,847,576,1513,0.0057577,11.989,1
lshp1009,1009,2928,3,6,855,576,1513,0.0057577,12.4897,1
lshp1009,1009,2928,3,6,848,576,1513,0.0057577,13.4166,1
lshp1009,1009,2928,3,6,863,576,1513,0.0057577,14.3443,1
lshp1009,1009,2928,3,6,854,576,1513,0.0057577,11.6446,1
lshp1009,1009,2928,3,6,846,576,1513,0.0057577,15.6079,1
lshp1009,1009,2928,3,6,867,576,1513,0.0057577,10.1516,1
lshp1009,1009,2928,3,6,855,576,1513,0.0057577,11.8162,1
lshp1009,1009,2928,3,6,853,576,1513,0.0057577,10.1646,1
lshp1009,1009,2928,3,6,849,576,1513,0.0057577,20.3396,1
lshp1009,1009,2928,3,6,848,576,1513,0.0057577,12.142,1
lshp1009,1009,2928,3,6,853,576,1513,0.0057577,16.4268,1
