graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rbs480a,480,16408,38,151,174,12,720,0.142728,5.28679,1
rbs480a,480,16408,38,151,94,12,720,0.142728,5.2009,1
rbs480a,480,16408,38,151,94,12,720,0.142728,6.20178,1
rbs480a,480,16408,38,151,87,12,720,0.142728,7.49391,1
rbs480a,480,16408,38,151,107,12,720,0.142728,5.95546,1
rbs480a,480,16408,38,151,134,12,720,0.142728,3.78022,1
rbs480a,480,16408,38,151,96,12,720,0.142728,7.00485,1
rbs480a,480,16408,38,151,115,12,720,0.142728,7.52953,1
rbs480a,480,16408,38,151,133,12,720,0.142728,4.3719,1
rbs480a,480,16408,38,151,102,12,720,0.142728,4.37753,1
rbs480a,480,16408,38,151,179,12,720,0.142728,1.56444,1
rbs480a,480,16408,38,151,109,12,720,0.142728,3.99192,1
rbs480a,480,16408,38,151,158,12,720,0.142728,5.58587,1
rbs480a,480,16408,38,151,152,12,720,0.142728,3.67983,1
rbs480a,480,16408,38,151,119,12,720,0.142728,4.9727,1
