graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rw496,496,1423,2,7,421,248,744,0.0115917,1.05041,1
rw496,496,1423,2,7,419,248,744,0.0115917,1.11157,1
rw496,496,1423,2,7,413,248,744,0.0115917,1.1867,1
rw496,496,1423,2,7,421,248,744,0.0115917,1.14157,1
rw496,496,1423,2,7,410,248,744,0.0115917,3.37527,1
rw496,496,1423,2,7,417,248,744,0.0115917,1.38191,1
rw496,496,1423,2,7,420,248,744,0.0115917,1.28756,1
rw496,496,1423,2,7,412,248,744,0.0115917,1.00455,1
rw496,496,1423,2,7,418,248,744,0.0115917,1.85962,1
rw496,496,1423,2,7,413,248,744,0.0115917,1.06452,1
rw496,496,1423,2,7,411,248,744,0.0115917,1.51478,1
rw496,496,1423,2,7,411,248,744,0.0115917,0.994908,1
rw496,496,1423,2,7,421,248,744,0.0115917,1.02874,1
rw496,496,1423,2,7,419,248,744,0.0115917,1.63019,1
rw496,496,1423,2,7,420,248,744,0.0115917,1.0043,1
