graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
young1c,841,1624,2,4,1043,672,1261,0.0045977,4.39055,1
young1c,841,1624,2,4,1015,672,1261,0.0045977,6.08706,1
young1c,841,1624,2,4,1044,672,1261,0.0045977,3.93645,1
young1c,841,1624,2,4,1007,672,1261,0.0045977,9.24164,1
young1c,841,1624,2,4,1021,672,1261,0.0045977,4.37088,1
young1c,841,1624,2,4,998,672,1261,0.0045977,8.19248,1
young1c,841,1624,2,4,1000,672,1261,0.0045977,5.59329,1
young1c,841,1624,2,4,1037,672,1261,0.0045977,5.86269,1
young1c,841,1624,2,4,1010,672,1261,0.0045977,6.3154,1
young1c,841,1624,2,4,1018,672,1261,0.0045977,2.04366,1
young1c,841,1624,2,4,1038,672,1261,0.0045977,2.20711,1
young1c,841,1624,2,4,1027,672,1261,0.0045977,3.96815,1
young1c,841,1624,2,4,1006,672,1261,0.0045977,3.80062,1
young1c,841,1624,2,4,1049,672,1261,0.0045977,8.73451,1
young1c,841,1624,2,4,1025,672,1261,0.0045977,6.42459,1
