graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Chebyshev1,261,1542,6,260,286,4,391,0.0454465,0.246721,1
Chebyshev1,261,1542,6,260,281,4,391,0.0454465,0.200324,1
Chebyshev1,261,1542,6,260,278,4,391,0.0454465,0.384244,1
Chebyshev1,261,1542,6,260,284,4,391,0.0454465,0.226676,1
Chebyshev1,261,1542,6,260,276,4,391,0.0454465,0.269408,1
Chebyshev1,261,1542,6,260,265,4,391,0.0454465,0.534033,1
Chebyshev1,261,1542,6,260,278,4,391,0.0454465,0.271875,1
Chebyshev1,261,1542,6,260,279,4,391,0.0454465,0.224322,1
Chebyshev1,261,1542,6,260,275,4,391,0.0454465,0.343589,1
Chebyshev1,261,1542,6,260,281,4,391,0.0454465,0.30438,1
Chebyshev1,261,1542,6,260,275,4,391,0.0454465,0.353679,1
Chebyshev1,261,1542,6,260,285,4,391,0.0454465,0.313628,1
Chebyshev1,261,1542,6,260,278,4,391,0.0454465,0.22173,1
Chebyshev1,261,1542,6,260,272,4,391,0.0454465,0.374544,1
Chebyshev1,261,1542,6,260,279,4,391,0.0454465,0.254948,1
