graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Trefethen_200b,199,1337,8,15,126,49,298,0.0678646,0.0766574,1
Trefethen_200b,199,1337,8,15,123,49,298,0.0678646,0.0858566,1
Trefethen_200b,199,1337,8,15,127,49,298,0.0678646,0.12125,1
Trefethen_200b,199,1337,8,15,123,49,298,0.0678646,0.0845955,1
Trefethen_200b,199,1337,8,15,111,49,298,0.0678646,0.148423,1
Trefethen_200b,199,1337,8,15,116,49,298,0.0678646,0.0972671,1
Trefethen_200b,199,1337,8,15,121,49,298,0.0678646,0.0718434,1
Trefethen_200b,199,1337,8,15,121,49,298,0.0678646,0.0943007,1
Trefethen_200b,199,1337,8,15,120,49,298,0.0678646,0.100932,1
Trefethen_200b,199,1337,8,15,114,49,298,0.0678646,0.107589,1
Trefethen_200b,199,1337,8,15,115,49,298,0.0678646,0.0740167,1
Trefethen_200b,199,1337,8,15,121,49,298,0.0678646,0.143031,1
Trefethen_200b,199,1337,8,15,113,49,298,0.0678646,0.126896,1
Trefethen_200b,199,1337,8,15,117,49,298,0.0678646,0.101487,1
Trefethen_200b,199,1337,8,15,115,49,298,0.0678646,0.109787,1
