graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
EX2,560,4368,12,18,311,117,840,0.027907,2.83097,1
EX2,560,4368,12,18,312,117,840,0.027907,2.75124,1
EX2,560,4368,12,18,316,117,840,0.027907,1.37259,1
EX2,560,4368,12,18,308,117,840,0.027907,3.31611,1
EX2,560,4368,12,18,310,117,840,0.027907,2.41542,1
EX2,560,4368,12,18,313,117,840,0.027907,1.8348,1
EX2,560,4368,12,18,308,117,840,0.027907,3.80352,1
EX2,560,4368,12,18,312,117,840,0.027907,3.53611,1
EX2,560,4368,12,18,314,117,840,0.027907,2.24425,1
EX2,560,4368,12,18,309,117,840,0.027907,1.93915,1
EX2,560,4368,12,18,310,117,840,0.027907,2.53022,1
EX2,560,4368,12,18,315,117,840,0.027907,2.24811,1
EX2,560,4368,12,18,312,117,840,0.027907,2.71956,1
EX2,560,4368,12,18,311,117,840,0.027907,2.14458,1
EX2,560,4368,12,18,312,117,840,0.027907,2.86605,1
