graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
G1,800,19176,27,67,195,47,1200,0.06,8.52772,1
G1,800,19176,27,67,199,47,1200,0.06,3.52396,1
G1,800,19176,27,67,194,47,1200,0.06,7.27142,1
G1,800,19176,27,67,195,47,1200,0.06,7.42798,1
G1,800,19176,27,67,197,47,1200,0.06,4.93109,1
G1,800,19176,27,67,194,47,1200,0.06,8.50613,1
G1,800,19176,27,67,195,47,1200,0.06,6.56219,1
G1,800,19176,27,67,196,47,1200,0.06,5.42675,1
G1,800,19176,27,67,197,47,1200,0.06,5.10172,1
G1,800,19176,27,67,196,47,1200,0.06,7.59634,1
G1,800,19176,27,67,197,47,1200,0.06,5.60104,1
G1,800,19176,27,67,195,47,1200,0.06,6.51155,1
G1,800,19176,27,67,198,47,1200,0.06,3.94138,1
G1,800,19176,27,67,198,47,1200,0.06,6.13063,1
G1,800,19176,27,67,196,47,1200,0.06,5.04378,1
