graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Hamrle1,32,90,4,8,28,14,48,0.181452,0.0012659,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.0014387,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00136262,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00123837,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00179361,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00141266,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00122607,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00128417,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00167302,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00156076,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00151786,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.0013852,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00129599,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00128026,1
Hamrle1,32,90,4,8,28,14,48,0.181452,0.00136806,1
