graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
L,956,1820,2,4,1181,764,1434,0.00398694,2.51833,1
L,956,1820,2,4,1182,764,1434,0.00398694,2.08483,1
L,956,1820,2,4,1178,764,1434,0.00398694,3.99341,1
L,956,1820,2,4,1179,764,1434,0.00398694,2.45707,1
L,956,1820,2,4,1179,764,1434,0.00398694,3.39201,1
L,956,1820,2,4,1180,764,1434,0.00398694,2.61537,1
L,956,1820,2,4,1176,764,1434,0.00398694,4.00287,1
L,956,1820,2,4,1174,764,1434,0.00398694,4.02775,1
L,956,1820,2,4,1176,764,1434,0.00398694,3.55393,1
L,956,1820,2,4,1176,764,1434,0.00398694,3.32202,1
L,956,1820,2,4,1181,764,1434,0.00398694,2.237,1
L,956,1820,2,4,1177,764,1434,0.00398694,3.28098,1
L,956,1820,2,4,1178,764,1434,0.00398694,3.0994,1
L,956,1820,2,4,1182,764,1434,0.00398694,2.54641,1
L,956,1820,2,4,1180,764,1434,0.00398694,2.43782,1
