graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.269672,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.270639,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.233198,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.22523,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.318292,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.243859,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.244713,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.27523,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.240883,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.270135,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.2486,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.247015,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.247912,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.288469,1
Harvard500,500,2043,1,200,279,9,875,0.0163768,0.27866,1
