graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path7-order175,175,174,1,2,263,-1,306,0.0114286,0.0431093,1
path7-order175,175,174,1,2,264,-1,306,0.0114286,0.0655055,1
path7-order175,175,174,1,2,264,-1,306,0.0114286,0.0358068,1
path7-order175,175,174,1,2,268,-1,306,0.0114286,0.0297668,1
path7-order175,175,174,1,2,262,-1,306,0.0114286,0.0451242,1
path7-order175,175,174,1,2,264,-1,306,0.0114286,0.0299166,1
path7-order175,175,174,1,2,259,-1,306,0.0114286,0.0649863,1
path7-order175,175,174,1,2,262,-1,306,0.0114286,0.0561951,1
path7-order175,175,174,1,2,266,-1,306,0.0114286,0.0344184,1
path7-order175,175,174,1,2,264,-1,306,0.0114286,0.0426968,1
path7-order175,175,174,1,2,259,-1,306,0.0114286,0.0663132,1
path7-order175,175,174,1,2,266,-1,306,0.0114286,0.045741,1
path7-order175,175,174,1,2,266,-1,306,0.0114286,0.0297919,1
path7-order175,175,174,1,2,264,-1,306,0.0114286,0.0504523,1
path7-order175,175,174,1,2,268,-1,306,0.0114286,0.0356805,1
