graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path9-order225,225,224,1,2,347,-1,393,0.00888889,0.0542267,1
path9-order225,225,224,1,2,338,-1,393,0.00888889,0.122506,1
path9-order225,225,224,1,2,341,-1,393,0.00888889,0.0482124,1
path9-order225,225,224,1,2,335,-1,393,0.00888889,0.171833,1
path9-order225,225,224,1,2,337,-1,393,0.00888889,0.0845291,1
path9-order225,225,224,1,2,341,-1,393,0.00888889,0.0602097,1
path9-order225,225,224,1,2,335,-1,393,0.00888889,0.185493,1
path9-order225,225,224,1,2,339,-1,393,0.00888889,0.112626,1
path9-order225,225,224,1,2,338,-1,393,0.00888889,0.106416,1
path9-order225,225,224,1,2,332,-1,393,0.00888889,0.0944595,1
path9-order225,225,224,1,2,339,-1,393,0.00888889,0.137232,1
path9-order225,225,224,1,2,342,-1,393,0.00888889,0.0643388,1
path9-order225,225,224,1,2,333,-1,393,0.00888889,0.0464866,1
path9-order225,225,224,1,2,342,-1,393,0.00888889,0.0423728,1
path9-order225,225,224,1,2,335,-1,393,0.00888889,0.188105,1
