graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path4-order100,100,99,1,2,152,-1,175,0.02,0.00947179,1
path4-order100,100,99,1,2,154,-1,175,0.02,0.0113508,1
path4-order100,100,99,1,2,152,-1,175,0.02,0.0139295,1
path4-order100,100,99,1,2,150,-1,175,0.02,0.00940547,1
path4-order100,100,99,1,2,147,-1,175,0.02,0.00868481,1
path4-order100,100,99,1,2,149,-1,175,0.02,0.0140025,1
path4-order100,100,99,1,2,150,-1,175,0.02,0.00770961,1
path4-order100,100,99,1,2,151,-1,175,0.02,0.00991757,1
path4-order100,100,99,1,2,150,-1,175,0.02,0.0105508,1
path4-order100,100,99,1,2,150,-1,175,0.02,0.0112898,1
path4-order100,100,99,1,2,149,-1,175,0.02,0.0136674,1
path4-order100,100,99,1,2,153,-1,175,0.02,0.00803685,1
path4-order100,100,99,1,2,149,-1,175,0.02,0.00875003,1
path4-order100,100,99,1,2,149,-1,175,0.02,0.00761328,1
path4-order100,100,99,1,2,151,-1,175,0.02,0.0128345,1
