graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
star8-order200,200,199,1,199,597,4,350,0.01,0.00621112,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00616081,1
star8-order200,200,199,1,199,597,4,350,0.01,0.0062037,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00616995,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00608585,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00600886,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00592774,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00589929,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00593726,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00585728,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00575347,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00575246,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00574373,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00578214,1
star8-order200,200,199,1,199,597,4,350,0.01,0.00591198,1
