graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0388428,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0372787,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0389486,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0378903,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0373644,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0377175,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0369699,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0383304,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0389738,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0379499,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.038575,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0390822,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0377992,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0388029,1
star9-order225,225,224,1,224,4,4,393,0.00888889,0.0389051,1
