graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tree4_order100,100,99,1,5,171,66,175,0.02,0.0168797,1
tree4_order100,100,99,1,5,159,66,175,0.02,0.00941704,1
tree4_order100,100,99,1,5,169,66,175,0.02,0.00814993,1
tree4_order100,100,99,1,5,159,66,175,0.02,0.00848606,1
tree4_order100,100,99,1,5,166,66,175,0.02,0.00937452,1
tree4_order100,100,99,1,5,159,66,175,0.02,0.00965458,1
tree4_order100,100,99,1,5,174,66,175,0.02,0.00778627,1
tree4_order100,100,99,1,5,167,66,175,0.02,0.0121939,1
tree4_order100,100,99,1,5,168,66,175,0.02,0.0118687,1
tree4_order100,100,99,1,5,164,66,175,0.02,0.0218221,1
tree4_order100,100,99,1,5,173,66,175,0.02,0.00761831,1
tree4_order100,100,99,1,5,167,66,175,0.02,0.0197068,1
tree4_order100,100,99,1,5,164,66,175,0.02,0.0174966,1
tree4_order100,100,99,1,5,166,66,175,0.02,0.0115782,1
tree4_order100,100,99,1,5,174,66,175,0.02,0.00824097,1
