graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tree4_order100,100,99,1,5,141,66,175,0.02,0.0106853,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.013301,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.0083029,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0134871,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0132042,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.00741322,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.00790993,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.00665294,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.00771304,1
tree4_order100,100,99,1,5,142,66,175,0.02,0.00728043,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0104265,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0111887,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0102283,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0110079,1
tree4_order100,100,99,1,5,141,66,175,0.02,0.0119512,1
